,,,,
,,,,
,,,,
Name product,Price,Description,Category Product,Brend
Радиоуправление E-flite MLP6DSM 6 каналов DSM2/DSMX 2.4 ГГц без приемника (EFLRMLP6),"1 590,00",EFLRMLP6,FPV Передатчики и приемники,E-flite
Радиоуправление Fei Lun (FC079-15-1),"190,00",FC079-15-1,FPV Передатчики и приемники,Fei Lun
Радиоуправление Fei Lun (FC079-15),"190,00",FC079-15,FPV Передатчики и приемники,Fei Lun
Hubsan Модуль передающий FPV 5.8 ГГц (H101-D22),"1 090,00",H101-D22,FPV Передатчики и приемники,Hubsan
Радиоуправление Hubsan X4 H107D 6 каналов 2.4 ГГц FPV 5.8 ГГц без приемника (H107D-A05),"3 590,00",H107D-A05,FPV Передатчики и приемники,Hubsan
Автомобиль Acme Racing Bullet Brushless Buggy 1:10 RTR 390 мм 4WD 2.4 ГГц (A2011T-V3),"3 290,00",A2011T-V3,Автомобили,ACME Racing
Автомобиль Vaterra Twin Hammers 1.9 Rock Racer 1:10 RTR 457 мм 4WD 2.4 ГГц (VTR03013),"12 690,00",VTR03013,Автомобили,Vaterra
Корпус Fei Lun Super Speed Mini RTR (FC079-2-1),"79,00",FC079-2-1,Автомобильные корпуса и кузова,Fei Lun
Корпус Fei Lun Super Speed Mini RTR (FC079-2),"79,00",FC079-2,Автомобильные корпуса и кузова,Fei Lun
Корпус автомобиля WLToys (L939-01R),"190,00",L939-01R,Автомобильные корпуса и кузова,WL Toys
Аккумулятор Blade Chroma Li-PO 11.1 В 6300 мАч (BLH8619),"3 790,00",BLH8619,Аккумуляторы,Blade
Аккумулятор Yuneec Typhoon Q500 4K G Li-Po 11.1 В 5400 мАч 3S (YUNQ4K130),"4 090,00",YUNQ4K130,Аккумуляторы,Yuneec
Усилитель сигнала IT ELITE DBS Extender (ITE-DBS01 VER.2 RPSMA),"4 090,00",ITE-DBS01 VER.2 RPSMA,Антенны,IT ELITE
Антенна радиоуправления Spektrum DX8 / DX7s (SPM6831),"390,00",SPM6831,Антенны,Spektrum
Блок питания ZTD-1250 AC-DC 12 B 5 A 110-240 В 60 Вт (1ZTD-1250(12V5A)),"590,00",ZTD-1250 (12V5A),Блоки питания,Ataba
Блок питания Hobby King AC-DC 15 B 5 A 110-240 В 75 Вт с сетевым кабелем (11758),"490,00",11758,Блоки питания,Hobby King
Блок питания Nine Egales 6 В 2000 мА (NE480322),"290,00",NE480322,Блоки питания,Nine Eagles
Блок питания Ataba AC-DC 12 B 5 A 110-240 В 60 Вт (1205N60S),"390,00",1205N60S,Блоки питания,Po8er
Блок питания Po8er DC 14 В 25 А 350 Вт с индикацией параметров (AD350),"1 690,00",AD350,Блоки питания,Po8er
Блок питания Turnigy AC-DC 13-18 В 60 A 110-220 Вт (9052000002-2),"4 890,00",9052000002-2,Блоки питания,Turnigy
Блок питания Yuneec 12 В 5 А 100-240 В (YS06-120500D),"390,00",YS06-120500D,Блоки питания,Yuneec
Вертолет Thunder Tiger Raptor 90 G4 E720 EP KIT (4790-K10),"10 690,00",4790-K10,Вертолеты,Thunder Tiger
Вертолет Thunder Tiger Raptor 90 G4 Nitro KIT 1584 мм (4893-K10),"11 390,00",4893-K10,Вертолеты,Thunder Tiger
Вертолет Thunder Tiger Titan X50 Nitro 3D KIT (4856-K10),"6 090,00",4856-K10,Вертолеты,Thunder Tiger
Вертолет ZT Model Sky Spy RTF 570 мм 2.4 ГГц FPV 5.8 ГГц (SKY-448752),"2 990,00",SKY-448752,Вертолеты,ZT Model
Видеокамера Traxxas LaTrax Alias HD 720P 12MP 60FPS (6660),"1 290,00",6660,Видеокамеры,Traxxas
Объектив широкоугольный 120° для камеры Traxxas LaTrax Alias (6661),"690,00",6661,Видеокамеры,Traxxas
Thunder Tiger Гироскоп Ace RC TG6000 & Сервопривод C0915 (8073),"1 890,00",8073,Гироскопы,Thunder Tiger
Thunder Tiger Гироскоп TG6000 (8072),"690,00",8072,Гироскопы,Thunder Tiger
Thunder Tiger Гироскоп TG7000 (8070),"990,00",8070,Гироскопы,Thunder Tiger
Двигатель ACME Racing бесколлекторный 1845KV (ARB1109),"1 590,00",ARB1109,Двигатели,ACME Racing
Двигатель задний XLH (9109/9112-04),"190,00",9109/9112-04,Двигатели,XLH
Двигатель передний XLH (9109/9112-03),"59,00",9109/9112-03,Двигатели,XLH
Двигатель бесколлекторный Yuneec Q500 вращение по часовой (YUNQ500114A),"1 190,00",YUNQ500114A,Двигатели,Yuneec
Двигатель бесколлекторный Yuneec Q500 вращение против часовой (YUNQ500114B),"1 190,00",YUNQ500114B,Двигатели,Yuneec
Nine Eagles Лопасти основного ротора Solo Pro 228/228P,"190,00",NE402328028A,Запчасти,
Nine Eagles Лопасти хвостовые Solo Pro 228/228P/230 (2 шт.),"190,00",NE402228030A,Запчасти,
Качалка сервопривода HPI Racing SFL-10 / 11 (HPI87280),"290,00",HPI87280,Запчасти,
Демфер подвеса камеры Yuneec CGO2-GB (YUNCGO2GB101),"290,00",YUNCGO2GB101,Запчасти,Yuneec
Шасси квадрокоптера Yuneec Q500 (YUNQ500117),"490,00",YUNQ500117,Запчасти,Yuneec
Зарядное устройство E-flite Celectra Li-Po 3.7 В 1C 300 мАч (EFLC1105),"2 190,00",EFLC1105A,Зарядные устройства,E-flite
Зарядное устройство E-flite Li-Po 15 В (EFLC3016),"1 190,00",EFLC3016,Зарядные устройства,E-flite
Зарядное устройство E-flite USB 1S Li-Po 300 мАч (EFLC1008),"290,00",EFLC1008,Зарядные устройства,E-flite
Зарядное устройство E-flite USB Li-Po 500 мАч 1S (EFLC1010),"390,00",EFLC1010,Зарядные устройства,E-flite
Зарядное устройство E-flite USB Li-Po 500 мАч 1S (EFLC1013),"490,00",EFLC1013,Зарядные устройства,E-flite
Зарядное устройство Fei Lun (FC079-14),"190,00",FC079-14,Зарядные устройства,Fei Lun
Зарядное устройство FMS Li-Po 2-3S 1А (FO204),"590,00",FO204,Зарядные устройства,FMS
Зарядное устройство HobbyZone Faze USB (HBZ8302),"190,00",HBZ8302,Зарядные устройства,HobbyZone
Зарядное устройство HSP Racing для Ni-MH/Ni-Cd аккумуляторов (61029),"390,00",61029,Зарядные устройства,HSP Racing
Зарядное устройство Hubsan USB (H107-A06),"79,00",H107-A06,Зарядные устройства,Hubsan
Зарядное устройство Nine Eagles Li-Po 1S (NE412328003A),"590,00",NE412328003A,Зарядные устройства,Nine Eagles
Зарядное устройство Nine Eagles Li-Po 3.7 В 1.8 А (NE480315),"290,00",NE480315,Зарядные устройства,Nine Eagles
Зарядное устройство с балансиром Nine Eagles Li-Po 7.4 В 600 мА 2C (NE4912001),"390,00",NE4912001,Зарядные устройства,Nine Eagles
