article,color,brand,category,title,fetures,reference ,eqipment,dodatkovo,size,raiteng,images,video,price
FL-FC086b,Синий,Fei Lun,Игрушка,Багги микро р/у 2.4GHz 1:32 Fei Lun High Speed скоростная (синий),"Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.","Рекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 мм","Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.",,"Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.",,FL-FC086b_*.jpg,"https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH3https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH3https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH3",100
FL-FC086g,Зеленый,Fei Lun,Игрушка,Багги микро р/у 2.4GHz 1:32 Fei Lun High Speed скоростная (зеленый),"Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.","Рекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 мм","Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.",,"Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.",,FL-FC086g_*.jpg,"https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH4https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH4https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH4",100
FL-FC086o,Оранжевый,Fei Lun,Игрушка,Багги микро р/у 2.4GHz 1:32 Fei Lun High Speed скоростная (оранжевый),"Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.Пропорциональное управление скоростью;
Высокая скорость;
Радиоуправление 2.4GHz;
Мобильное з/у в комплекте.","Рекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 ммРекомендуемый возраст: 5+
Масштаб: 1/32
Время работы: 10-15 мин
Время зарядки: 30 мин
Радиус действия: 30 м
Скорость: 25 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейка ""крона"" 9В 1шт.
Управление поворотами: дискретное
Управление скоростью: пропорциональное
Частота: 2,4 ГГц
Размеры: 110х70х40 мм","Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.Скоростная багги;
Пульт управления 2.4GHz;
Переносное з/у от батареек;
Зарядное устройство от USB;
Батарейка для пульта управления;
Инструкция;
Защита от переворотов;
Трамплин для прыжков.",,"Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.Размеры упаковки: 17,5x16x16 см
Вес с упаковкой: 0,43 кг
Количество в коробке: 36 шт.
Объём коробки: 0,191 метры куб.",,FL-FC086o_*.jpg,"https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH5https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH5https://www.youtube.com/watch?v=swI1iJiHVx4
https://www.youtube.com/watch?v=4Yz1zV-isH5",100
GWT2008D-1,Красный,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (красный),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-1_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-2,Серый,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (серый),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-2_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-3,Хаки белый,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (хаки белый),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27, 35, 40, 49 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27, 35, 40, 49 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 27, 35, 40, 49 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-3_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-4,Белый,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (белый),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 35 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 35 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 35 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-4_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-5,Черный,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (черный),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-5_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-6,Синий,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (синий),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 40 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-6_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
GWT2008D-7,Жёлтый,Great Wall Toys,Игрушка,Джип микро р/у 1:43 Hummer (желтый),"Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.Быстрая зарядка от пульта управления;
4 частоты управления;
Ускорение;
Светящиеся фары;
Подарочная упаковка.","Рекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 49 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 49 МГц
Размеры: 110х60х50 ммРекомендуемый возраст: 3+
Масштаб: 1/43
Время работы: 10-15 мин
Время зарядки: 10 мин
Радиус действия: 10 м
Скорость: 5 км/ч
Питание: LiPol аккумулятор
Питание пульта: Батарейки АА 4шт.
Частота: 49 МГц
Размеры: 110х60х50 мм","Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.Машинка Hummer;
Пульт управления;
Антена;
Интсрукция.",Батарейки АА 4шт.,"Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.Размеры упаковки: 19x10,5x18 см
Вес с упаковкой: 0,51 кг
Количество в коробке: 48 шт.
Объём коробки: 0,223 метры куб.",,GWT2008D-7_*.jpg,https://www.youtube.com/watch?v=8nVnht0htZs,100
