,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"FPV Передатчики и приемники",,,"E-flite","EFLRMLP6",,"Радиоуправление E-flite MLP6DSM 6 каналов DSM2/DSMX 2,4 ГГц без приемника (EFLRMLP6)","40,00","42,00","1 590,00"
"FPV Передатчики и приемники",,,"Fei Lun","FC079-15-1",,"Радиоуправление Fei Lun (FC079-15-1)","3,00","3,50","100500,00"
"FPV Передатчики и приемники",,,"Fei Lun","FC079-15",,"Радиоуправление Fei Lun (FC079-15)","3,00","3,50","190,00"
"FPV Передатчики и приемники",,,"Hubsan","H101-D22",,"Hubsan Модуль передающий FPV 5,8 ГГц (H101-D22)","25,38","28,20","1 090,00"
"FPV Передатчики и приемники",,,"Hubsan","H107D-A04",,"Видеопередатчик Hubsan X4 H107D с камерой FPV 5,8 ГГц  (H107D-A04)","55,00","60,50","2 090,00"
"FPV Передатчики и приемники",,,"Hubsan","H320F",,"Радиоуправление Hubsan H320F 2,4 ГГц FPV DIY 5,8 ГГц (H320F)","160,00","169,00","6 090,00"
"FPV Передатчики и приемники",,,"Hubsan","H102F-01",,"Радиоуправление Hubsan TX3 2,4 ГГц FPV 5,8 ГГц без приемника (H102F-01)","70,00","148,40","2 590,00"
"FPV Передатчики и приемники",,,"Hubsan","H107-19",,"Радиоуправление Hubsan X4 H107C 4 канала 2,4 ГГц без приемника (H107-19)","16,00","17,60","690,00"
"FPV Передатчики и приемники",,,"Hubsan","H107D-A05",,"Радиоуправление Hubsan X4 H107D 6 каналов 2,4 ГГц FPV 5,8 ГГц без приемника (H107D-A05)","94,00","103,40","3 590,00"
"Автомобили",,,"ACME Racing","A2011T-V3",,"Автомобиль Acme Racing Bullet Brushless Buggy 1:10 RTR 390 мм 4WD 2,4 ГГц (A2011T-V3)","95,00","110,00","3 290,00"
"Автомобили",,,"ACME Racing","A2029T-V1",,"Автомобиль Acme Racing Shadow Rally 1:16 RTR 340 мм 4WD 2,4 ГГц (A2029T-V1)","55,00","60,00","1 990,00"
"Автомобили",,,"Axial","AX90011 (AX069998)",,"Автомобиль Axial AX10 Scorpion Rock Crawler 1:10 RTR 4WD (AX90011 (AX069998))","325,00","357,50","12 390,00"
"Автомобили",,,"ECX","ECX01000T1",,"Автомобиль ECX Ruckus Monster 1:18 RTR 267 мм 4WD 2,4 ГГц (ECX01000T1)","100,00","110,00","3 590,00"
"Автомобили",,,"ECX","ECX01000T2",,"Автомобиль ECX Ruckus Monster 1:18 RTR 267 мм 4WD 2,4 ГГц (ECX01000T2)","100,00","110,00","3 590,00"
"Автомобили",,,"ECX","ECX01001",,"Автомобиль ECX Torment Short Course 1:18 RTR 306 мм 4WD 2,4 ГГц (ECX01001)","100,00","110,00","3 590,00"
"Автомобили",,,"ECX","ECX01001T2",,"Автомобиль ECX Torment Short Course 1:18 RTR 306 мм 4WD 2,4 ГГц (ECX01001T2)","100,00","110,00","3 590,00"
"Автомобили",,,"HPI Racing","HPI109966",,"Автомобиль HPI Racing Baja 5SC 1:5 RTR 900 мм 2WD 2,4 ГГц бензин (HPI109966)","1 200,00","1 300,00","40 490,00"
"Автомобили",,,"HPI Racing","HPI105833 Black/Orange",,"Автомобиль HPI Racing Blitz Scorpion Short Course 1:10 RTR 548 мм 2WD 2,4 ГГц (HPI105833 Black/Orange)","200,00","210,00","6 590,00"
"Автомобили",,,"HPI Racing","HPI105833 Silver/Orange",,"Автомобиль HPI Racing Blitz Scorpion Short Course 1:10 RTR 548 мм 2WD 2,4 ГГц (HPI105833 Silver/Orange)","200,00","210,00","6 590,00"
"Автомобили",,,"HPI Racing","HPI101701",,"Автомобиль HPI Racing Bullet MT 3.0 Nitro Monster 1:10 RTR 417 мм 4WD 2,4ГГц (HPI101701)","280,00","300,00","10 190,00"
